Stock;Price;P/L;P/VP;PSR;D.Yield;P/Ativos;P/Cap. Giro;P/EBIT;P/ACL;EV/EBIT;EV/EBITDA;Marg. EBIT;Marg. Liq.;Liq. Corr.;ROIC;ROE;Liq. L2M;Pat. Liq.;Div. Brut./Pat. Liq.;CRL L5A
PEAB4;74;41.69;1.37;19.298;0.0115;1.084;3.73;121.9;10.59;107.54;66.05;0.1583;0.4629;14.66;0.012;0.0329;4370.05;693041000;0.17;-0.4783
ONCO3;12.1;43.98;2.86;1.268;0;0.746;5.79;8.94;-2.16;13;9.98;0.1418;0.0457;1.63;0.1006;0.0651;27339200;2230110000;1.63;0.5953
RADL3;27.75;46.24;8.62;1.504;0.0114;2.687;16.22;24.59;-21.21;25.64;14.19;0.0612;0.0331;1.42;0.1461;0.1864;122070000;5531980000;0.43;0.187
HBSA3;4.56;46.55;2.33;1.756;0;0.557;5.06;8.24;-1.01;16.73;9.04;0.2131;0.0377;2.13;0.0784;0.05;44541600;1490240000;2.88;0.0934
AESB3;11.42;47.42;1.56;2.22;0;0.345;4.08;8.16;-0.68;18.05;10.49;0.2721;0.1086;1.64;0.0514;0.0329;22620000;4404140000;2.64;13.485
CSAB4;43.01;47.43;1.61;762.856;0.0154;0.815;0;35.56;0;0;0;214.503;160.831;0;0;0.034;1747.44;204642000;0;-0.1487
SCAR3;24.94;47.98;0.94;1.849;0;0.408;2.27;5.07;-1.31;10.68;8.92;0.3649;0.037;3.57;0.0862;0.0195;111691;1538560000;1.19;0.1945
ELET3;35.88;48.6;0.74;2.4;0.0062;0.314;5.95;9.51;-0.76;13.78;9.84;0.2524;0.0448;1.47;0.0361;0.0153;341544000;1.11E+16;0.51;0.1714
RDOR3;29.08;50.36;2.97;1.913;0.0059;0.716;2.52;14.01;-2.45;14.53;10.78;0.1365;0.0407;2.68;0.0764;0.059;167250000;22421500000;1.42;0.3716
RENT3;62.17;50.54;2.65;2.566;0.0219;0.916;20.32;12.93;-2.18;18.25;10.05;0.1984;0.0506;1.24;0.0885;0.0524;353125000;24880200000;1.48;0.2461
ELET6;38.85;52.62;0.8;2.599;0.0384;0.34;6.44;10.3;-0.83;14.57;10.4;0.2524;0.0448;1.47;0.0361;0.0153;83590500;1.11E+16;0.51;0.1714
RAIL3;22.76;53.55;2.73;4.092;0.0029;0.908;10.03;13.91;-1.95;17.66;10.73;0.2942;0.0766;1.85;0.0754;0.0511;314733000;15440200000;1.11;0.1012
CRFB3;10.34;56.32;1.11;0.197;0.0337;0.252;-12.77;4.88;-0.8;8.28;5.73;0.0403;0.0053;0.96;0.0666;0.0197;121719000;19625000000;1.09;0.178
YDUQ3;20.62;57.85;2.03;1.312;0.0133;0.656;6.91;8.51;-1.6;14.21;7.14;0.1542;0.0233;1.56;0.0899;0.0351;107661000;3138850000;1.73;0.1491
